run_id,day_num,throughput_picked,cumulative_done
1,1,7,7
1,2,6,13
1,3,5,18
1,4,11,29
1,5,2,31
1,6,2,33
1,7,1,34
1,8,5,39
1,9,11,50
2,1,0,0
2,2,0,0
2,3,11,11
2,4,2,13
2,5,0,13
2,6,3,16
2,7,4,20
2,8,6,26
2,9,5,31
2,10,0,31
2,11,3,34
2,12,0,34
2,13,0,34
2,14,0,34
2,15,5,39
2,16,0,39
2,17,3,42
2,18,2,44
2,19,4,48
2,20,3,51
3,1,2,2
3,2,1,3
3,3,1,4
3,4,0,4
3,5,3,7
3,6,2,9
3,7,5,14
3,8,2,16
3,9,2,18
3,10,3,21
3,11,5,26
3,12,5,31
3,13,3,34
3,14,4,38
3,15,0,38
3,16,2,40
3,17,2,42
3,18,3,45
3,19,3,48
3,20,0,48
3,21,0,48
3,22,0,48
3,23,4,52
4,1,2,2
4,2,3,5
4,3,4,9
4,4,0,9
4,5,0,9
4,6,0,9
4,7,5,14
4,8,4,18
4,9,0,18
4,10,0,18
4,11,2,20
4,12,0,20
4,13,4,24
4,14,4,28
4,15,3,31
4,16,0,31
4,17,0,31
4,18,2,33
4,19,0,33
4,20,2,35
4,21,6,41
4,22,6,47
4,23,2,49
4,24,13,62
5,1,0,0
5,2,4,4
5,3,1,5
5,4,0,5
5,5,2,7
5,6,0,7
5,7,4,11
5,8,1,12
5,9,0,12
5,10,2,14
5,11,2,16
5,12,4,20
5,13,2,22
5,14,0,22
5,15,7,29
5,16,0,29
5,17,6,35
5,18,5,40
5,19,6,46
5,20,3,49
5,21,2,51
6,1,0,0
6,2,0,0
6,3,3,3
6,4,1,4
6,5,3,7
6,6,0,7
6,7,0,7
6,8,7,14
6,9,1,15
6,10,2,17
6,11,0,17
6,12,2,19
6,13,5,24
6,14,1,25
6,15,4,29
6,16,0,29
6,17,7,36
6,18,5,41
6,19,0,41
6,20,1,42
6,21,1,43
6,22,7,50
7,1,0,0
7,2,2,2
7,3,0,2
7,4,0,2
7,5,0,2
7,6,0,2
7,7,6,8
7,8,5,13
7,9,5,18
7,10,0,18
7,11,0,18
7,12,0,18
7,13,3,21
7,14,0,21
7,15,2,23
7,16,5,28
7,17,3,31
7,18,4,35
7,19,3,38
7,20,0,38
7,21,3,41
7,22,0,41
7,23,5,46
7,24,0,46
7,25,5,51
8,1,2,2
8,2,1,3
8,3,0,3
8,4,2,5
8,5,0,5
8,6,1,6
8,7,4,10
8,8,4,14
8,9,4,18
8,10,0,18
8,11,6,24
8,12,1,25
8,13,5,30
8,14,0,30
8,15,3,33
8,16,0,33
8,17,5,38
8,18,0,38
8,19,2,40
8,20,6,46
8,21,2,48
8,22,2,50
9,1,5,5
9,2,2,7
9,3,1,8
9,4,4,12
9,5,5,17
9,6,0,17
9,7,3,20
9,8,4,24
9,9,5,29
9,10,1,30
9,11,4,34
9,12,2,36
9,13,3,39
9,14,2,41
9,15,0,41
9,16,1,42
9,17,0,42
9,18,6,48
9,19,1,49
9,20,2,51
10,1,5,5
10,2,0,5
10,3,2,7
10,4,3,10
10,5,0,10
10,6,6,16
10,7,0,16
10,8,3,19
10,9,5,24
10,10,0,24
10,11,2,26
10,12,0,26
10,13,0,26
10,14,0,26
10,15,0,26
10,16,3,29
10,17,0,29
10,18,0,29
10,19,0,29
10,20,2,31
10,21,2,33
10,22,6,39
10,23,0,39
10,24,7,46
10,25,0,46
10,26,0,46
10,27,3,49
10,28,2,51
11,1,6,6
11,2,3,9
11,3,5,14
11,4,2,16
11,5,0,16
11,6,4,20
11,7,2,22
11,8,5,27
11,9,7,34
11,10,9,43
11,11,0,43
11,12,6,49
11,13,6,55
12,1,0,0
12,2,5,5
12,3,1,6
12,4,0,6
12,5,0,6
12,6,0,6
12,7,0,6
12,8,4,10
12,9,4,14
12,10,0,14
12,11,9,23
12,12,0,23
12,13,0,23
12,14,3,26
12,15,2,28
12,16,2,30
12,17,0,30
12,18,0,30
12,19,1,31
12,20,0,31
12,21,3,34
12,22,1,35
12,23,0,35
12,24,4,39
12,25,2,41
12,26,0,41
12,27,4,45
12,28,3,48
12,29,2,50
13,1,5,5
13,2,0,5
13,3,5,10
13,4,3,13
13,5,2,15
13,6,1,16
13,7,0,16
13,8,0,16
13,9,4,20
13,10,6,26
13,11,3,29
13,12,4,33
13,13,0,33
13,14,0,33
13,15,2,35
13,16,1,36
13,17,0,36
13,18,0,36
13,19,0,36
13,20,3,39
13,21,3,42
13,22,0,42
13,23,3,45
13,24,1,46
13,25,2,48
13,26,0,48
13,27,13,61
14,1,2,2
14,2,0,2
14,3,0,2
14,4,0,2
14,5,6,8
14,6,2,10
14,7,5,15
14,8,0,15
14,9,0,15
14,10,0,15
14,11,2,17
14,12,0,17
14,13,9,26
14,14,3,29
14,15,2,31
14,16,0,31
14,17,0,31
14,18,6,37
14,19,6,43
14,20,0,43
14,21,2,45
14,22,0,45
14,23,0,45
14,24,5,50
15,1,3,3
15,2,2,5
15,3,2,7
15,4,2,9
15,5,1,10
15,6,3,13
15,7,3,16
15,8,4,20
15,9,3,23
15,10,1,24
15,11,2,26
15,12,0,26
15,13,0,26
15,14,0,26
15,15,4,30
15,16,3,33
15,17,2,35
15,18,0,35
15,19,0,35
15,20,0,35
15,21,0,35
15,22,6,41
15,23,2,43
15,24,0,43
15,25,2,45
15,26,2,47
15,27,2,49
15,28,2,51
16,1,0,0
16,2,5,5
16,3,4,9
16,4,0,9
16,5,2,11
16,6,1,12
16,7,2,14
16,8,2,16
16,9,0,16
16,10,3,19
16,11,5,24
16,12,2,26
16,13,1,27
16,14,3,30
16,15,2,32
16,16,0,32
16,17,4,36
16,18,2,38
16,19,0,38
16,20,0,38
16,21,0,38
16,22,5,43
16,23,4,47
16,24,0,47
16,25,1,48
16,26,3,51
17,1,9,9
17,2,0,9
17,3,3,12
17,4,2,14
17,5,0,14
17,6,0,14
17,7,1,15
17,8,4,19
17,9,2,21
17,10,3,24
17,11,0,24
17,12,0,24
17,13,0,24
17,14,0,24
17,15,0,24
17,16,4,28
17,17,3,31
17,18,0,31
17,19,0,31
17,20,0,31
17,21,1,32
17,22,2,34
17,23,9,43
17,24,2,45
17,25,2,47
17,26,0,47
17,27,3,50
18,1,0,0
18,2,4,4
18,3,11,15
18,4,2,17
18,5,0,17
18,6,1,18
18,7,5,23
18,8,0,23
18,9,0,23
18,10,4,27
18,11,0,27
18,12,0,27
18,13,1,28
18,14,4,32
18,15,5,37
18,16,0,37
18,17,0,37
18,18,4,41
18,19,4,45
18,20,0,45
18,21,0,45
18,22,5,50
19,1,0,0
19,2,0,0
19,3,2,2
19,4,0,2
19,5,0,2
19,6,0,2
19,7,0,2
19,8,2,4
19,9,4,8
19,10,5,13
19,11,4,17
19,12,0,17
19,13,4,21
19,14,1,22
19,15,1,23
19,16,4,27
19,17,0,27
19,18,4,31
19,19,5,36
19,20,0,36
19,21,2,38
19,22,0,38
19,23,2,40
19,24,5,45
19,25,0,45
19,26,0,45
19,27,0,45
19,28,0,45
19,29,0,45
19,30,3,48
19,31,6,54
20,1,0,0
20,2,5,5
20,3,5,10
20,4,0,10
20,5,0,10
20,6,0,10
20,7,0,10
20,8,0,10
20,9,2,12
20,10,0,12
20,11,2,14
20,12,3,17
20,13,0,17
20,14,0,17
20,15,0,17
20,16,0,17
20,17,0,17
20,18,2,19
20,19,6,25
20,20,0,25
20,21,5,30
20,22,3,33
20,23,0,33
20,24,2,35
20,25,13,48
20,26,6,54
21,1,0,0
21,2,5,5
21,3,4,9
21,4,4,13
21,5,0,13
21,6,0,13
21,7,0,13
21,8,3,16
21,9,6,22
21,10,1,23
21,11,0,23
21,12,5,28
21,13,0,28
21,14,6,34
21,15,0,34
21,16,1,35
21,17,3,38
21,18,2,40
21,19,0,40
21,20,0,40
21,21,0,40
21,22,2,42
21,23,2,44
21,24,0,44
21,25,2,46
21,26,1,47
21,27,7,54
22,1,1,1
22,2,0,1
22,3,0,1
22,4,9,10
22,5,2,12
22,6,4,16
22,7,0,16
22,8,0,16
22,9,7,23
22,10,4,27
22,11,0,27
22,12,2,29
22,13,4,33
22,14,2,35
22,15,5,40
22,16,2,42
22,17,0,42
22,18,7,49
22,19,0,49
22,20,5,54
23,1,11,11
23,2,3,14
23,3,3,17
23,4,13,30
23,5,4,34
23,6,0,34
23,7,0,34
23,8,6,40
23,9,0,40
23,10,5,45
23,11,2,47
23,12,2,49
23,13,6,55
24,1,0,0
24,2,6,6
24,3,4,10
24,4,3,13
24,5,5,18
24,6,3,21
24,7,0,21
24,8,4,25
24,9,1,26
24,10,6,32
24,11,2,34
24,12,2,36
24,13,4,40
24,14,3,43
24,15,2,45
24,16,1,46
24,17,2,48
24,18,0,48
24,19,0,48
24,20,3,51
25,1,0,0
25,2,0,0
25,3,2,2
25,4,3,5
25,5,0,5
25,6,1,6
25,7,2,8
25,8,0,8
25,9,2,10
25,10,5,15
25,11,6,21
25,12,5,26
25,13,0,26
25,14,3,29
25,15,5,34
25,16,0,34
25,17,11,45
25,18,5,50
26,1,0,0
26,2,3,3
26,3,6,9
26,4,0,9
26,5,2,11
26,6,11,22
26,7,5,27
26,8,2,29
26,9,0,29
26,10,5,34
26,11,0,34
26,12,3,37
26,13,0,37
26,14,4,41
26,15,2,43
26,16,6,49
26,17,1,50
27,1,0,0
27,2,1,1
27,3,3,4
27,4,0,4
27,5,0,4
27,6,0,4
27,7,1,5
27,8,0,5
27,9,2,7
27,10,2,9
27,11,0,9
27,12,1,10
27,13,5,15
27,14,1,16
27,15,2,18
27,16,0,18
27,17,5,23
27,18,2,25
27,19,2,27
27,20,0,27
